step,graph_idx,status,energy,fmax,temperature,pressure_eV_A3,volume_A3,density_g_cm3
0.0,0.0,0.0,-4200131.0,8.40363597869873,200.24380493164062,-0.0003295089118182659,69223.109375,1.2298985719680786
100.0,0.0,0.0,-4200131.0,6.763057231903076,200.60028076171875,0.00041584717109799385,69235.203125,1.229683756828308
200.0,0.0,0.0,-4200130.5,7.2486395835876465,201.11363220214844,1.7068698070943356e-05,69246.4921875,1.2294833660125732
300.0,0.0,0.0,-4200129.5,8.504071235656738,198.97750854492188,-7.067178376019001e-05,69257.2421875,1.2292925119400024
400.0,0.0,0.0,-4200134.0,7.003769874572754,201.5385284423828,-0.0004621839616447687,69266.9375,1.2291203737258911
500.0,0.0,0.0,-4200133.5,8.134293556213379,198.21408081054688,-0.0002739023184403777,69274.859375,1.2289800643920898
600.0,0.0,0.0,-4200133.0,8.230533599853516,198.2165069580078,-0.0001876981696113944,69281.515625,1.228861927986145
700.0,0.0,0.0,-4200134.0,8.24311351776123,199.1746826171875,0.00016664189752191305,69286.0,1.228782296180725
800.0,0.0,0.0,-4200133.0,8.08252239227295,197.8042755126953,-0.000546368770301342,69288.71875,1.2287341356277466
900.0,0.0,0.0,-4200132.0,7.809500694274902,197.15052795410156,3.132049459964037e-05,69289.8515625,1.228714108467102
1000.0,0.0,0.0,-4200132.0,7.706881046295166,200.2980194091797,0.0005404377589002252,69289.3046875,1.2287237644195557
1100.0,0.0,0.0,-4200131.5,8.409856796264648,202.6829376220703,0.0006765936268493533,69287.8828125,1.2287487983703613
1200.0,0.0,0.0,-4200131.0,7.3747944831848145,203.99351501464844,-0.0002616399433463812,69284.6171875,1.2288068532943726
1300.0,0.0,0.0,-4200128.0,7.689748287200928,201.07229614257812,-0.0005533839575946331,69278.859375,1.2289090156555176
1400.0,0.0,0.0,-4200130.5,8.53091812133789,202.47755432128906,0.0003683405229821801,69271.546875,1.2290385961532593
1500.0,0.0,0.0,-4200133.5,8.063026428222656,203.9715576171875,-0.0006363827269524336,69263.4140625,1.2291829586029053
1600.0,0.0,0.0,-4200130.5,10.584635734558105,199.7211151123047,-9.242992382496595e-05,69254.390625,1.229343056678772
1700.0,0.0,0.0,-4200131.5,7.240763187408447,202.09982299804688,-0.001114344340749085,69244.5625,1.2295175790786743
1800.0,0.0,0.0,-4200131.0,8.098115921020508,200.5444793701172,0.0007523950189352036,69232.9140625,1.229724407196045
1900.0,0.0,0.0,-4200134.5,7.810235977172852,203.3701171875,0.00044495391193777323,69221.6484375,1.2299245595932007
2000.0,0.0,0.0,-4200132.5,9.354246139526367,200.0242156982422,-9.434216190129519e-05,69208.5546875,1.2301573753356934
2100.0,0.0,0.0,-4200130.0,7.222756862640381,197.15077209472656,-0.0004565443377941847,69193.7265625,1.2304209470748901
2200.0,0.0,0.0,-4200132.0,8.873844146728516,199.5230255126953,-0.0007896724855527282,69178.5859375,1.2306901216506958
2300.0,0.0,0.0,-4200134.5,7.7140398025512695,202.22286987304688,0.000984078855253756,69161.9453125,1.2309863567352295
2400.0,0.0,0.0,-4200136.5,8.00553035736084,203.79800415039062,-0.0005678822053596377,69145.8203125,1.2312734127044678
2500.0,0.0,0.0,-4200133.5,7.185938358306885,200.31661987304688,0.00047651189379394054,69128.96875,1.2315735816955566
2600.0,0.0,0.0,-4200133.5,6.791306495666504,199.5855255126953,-0.0008144070161506534,69111.5546875,1.2318837642669678
2700.0,0.0,0.0,-4200132.0,13.059510231018066,196.3828582763672,0.00023137649986892939,69094.796875,1.2321826219558716
2800.0,0.0,0.0,-4200135.0,8.041607856750488,197.10279846191406,0.0002923697466030717,69079.234375,1.2324601411819458
2900.0,0.0,0.0,-4200134.0,8.264302253723145,196.35887145996094,-0.00026103039272129536,69063.8203125,1.232735276222229
3000.0,0.0,0.0,-4200135.5,14.561942100524902,201.82662963867188,0.0009634395828470588,69048.1015625,1.2330158948898315
3100.0,0.0,0.0,-4200130.5,8.181007385253906,196.63648986816406,-5.711754783987999e-05,69033.8984375,1.2332695722579956
3200.0,0.0,0.0,-4200134.0,8.379959106445312,200.17372131347656,0.0009402796858921647,69022.3203125,1.2334762811660767
3300.0,0.0,0.0,-4200133.0,8.893951416015625,200.0858917236328,-0.0010269001359120011,69013.4921875,1.2336342334747314
3400.0,0.0,0.0,-4200132.5,7.7680487632751465,200.2064208984375,-0.00013611477334052324,69005.6171875,1.2337751388549805
3500.0,0.0,0.0,-4200132.0,8.407586097717285,199.947021484375,-0.00040665664710104465,68999.6953125,1.233880877494812
3600.0,0.0,0.0,-4200133.0,7.517290115356445,201.3037567138672,0.0008966957102529705,68995.7890625,1.2339507341384888
3700.0,0.0,0.0,-4200133.5,9.866938591003418,202.67877197265625,0.0010808694642037153,68995.171875,1.233961820602417
3800.0,0.0,0.0,-4200132.0,7.456777572631836,201.3818817138672,-0.0006506924983114004,68997.2734375,1.233924388885498
3900.0,0.0,0.0,-4200130.0,8.441503524780273,199.40060424804688,-0.0007088335696607828,69001.40625,1.2338504791259766
4000.0,0.0,0.0,-4200129.0,9.997135162353516,196.7010040283203,-0.0006944258930161595,69008.90625,1.233716368675232
4100.0,0.0,0.0,-4200132.5,8.609973907470703,197.9179229736328,0.0013220439432188869,69018.6484375,1.2335420846939087
4200.0,0.0,0.0,-4200136.5,9.203707695007324,200.7449951171875,0.0006640730425715446,69031.484375,1.233312726020813
4300.0,0.0,0.0,-4200133.5,7.587786674499512,198.40057373046875,-0.00033815507777035236,69045.8359375,1.2330564260482788
4400.0,0.0,0.0,-4200136.0,6.876130104064941,202.0660400390625,-0.0006207446567714214,69060.5,1.2327945232391357
4500.0,0.0,0.0,-4200132.5,8.331186294555664,198.65811157226562,-0.00021521560847759247,69076.1015625,1.2325160503387451
4600.0,0.0,0.0,-4200134.5,7.002792835235596,201.43406677246094,0.00015532737597823143,69093.109375,1.2322126626968384
4700.0,0.0,0.0,-4200132.0,7.836282253265381,200.80172729492188,-0.0005360756767913699,69110.703125,1.2318991422653198
4800.0,0.0,0.0,-4200129.5,7.172126770019531,201.05052185058594,0.0008112989598885179,69126.6328125,1.2316151857376099
4900.0,0.0,0.0,-4200129.5,6.51458215713501,201.92982482910156,-0.0001534635666757822,69142.28125,1.2313363552093506
5000.0,0.0,0.0,-4200132.0,8.04820442199707,204.38531494140625,0.0007627910235896707,69158.1953125,1.231053113937378
5100.0,0.0,0.0,-4200135.0,7.579305171966553,204.7074432373047,-0.0007915799506008625,69175.2578125,1.230749487876892
5200.0,0.0,0.0,-4200131.0,11.050704956054688,198.9987030029297,-8.022680412977934e-05,69190.4765625,1.2304786443710327
5300.0,0.0,0.0,-4200133.0,8.327059745788574,200.0879669189453,0.00010123569518327713,69204.0703125,1.2302371263504028
5400.0,0.0,0.0,-4200130.5,7.739913463592529,197.95919799804688,-0.0004740814911201596,69215.4140625,1.2300353050231934
5500.0,0.0,0.0,-4200131.5,11.84352970123291,199.1910858154297,0.0005244710482656956,69224.8828125,1.2298671007156372
5600.0,0.0,0.0,-4200137.0,8.560750007629395,204.47906494140625,-0.0011404827237129211,69233.140625,1.2297204732894897
5700.0,0.0,0.0,-4200133.0,8.858739852905273,200.32444763183594,0.00015587825328111649,69238.5078125,1.2296249866485596
5800.0,0.0,0.0,-4200133.0,8.039802551269531,200.08274841308594,-0.00029429758433252573,69242.34375,1.229556918144226
5900.0,0.0,0.0,-4200132.5,13.529722213745117,198.62953186035156,0.0003695779014378786,69244.9609375,1.2295105457305908
6000.0,0.0,0.0,-4200136.0,8.527024269104004,201.0093231201172,3.0765426345169544e-05,69246.4296875,1.2294844388961792
6100.0,0.0,0.0,-4200136.5,6.89882755279541,199.01055908203125,-0.0009117701556533575,69247.2421875,1.2294702529907227
