case_id,atom_count,molecules_per_species,nodes,gpus,ranks,success,status,failure_type,failure_stage,error,warmup_count,measured_pass_count,pass_times_s,median_s,min_s,max_s,peak_memory_bytes_max_rank,owned_atoms_min_rank,owned_atoms_max_rank,spatial_grid,energy_ev,energy_ev_per_atom,comparison_energy_ev,comparison_energy_ev_per_atom,comparison_energy_statistic,energy_dtype,force_rms_ev_per_a,force_max_ev_per_a,structure_sha256,settings_sha256,input_tensor_sha256,positions_pbc_equivalent,max_minimum_image_displacement_a,measurement_role,measurement_kind
fixed-evaluation-pairs-002048-gpus-01,51200,2048,1,1,1,True,complete,,,,1,3,"[8.117738458000531, 0.26823815000170725, 0.2680253460021049]",0.26823815000170725,0.2680253460021049,8.117738458000531,14109956608,51200,51200,1x1x1,-31004162.0,-605.5500390625,-31004162.0,-605.5500390625,median_of_three_measured_passes,torch.float32,0.5499207670817854,5.1421823863347615,5751f7331200f5f9865e0e8e37d82ff50b92d3d81722853c92f4628713d33959,2f02d9b7f4bbce67804573ae206940aee002804fe87c8026d729786ae9360b48,744b7930eb2e0b6d42616a368f9976687e603dc75c2cb6f50cb32caae696180f,True,0.0,fixed_evaluation,fixed_structure_energy_force_pass
fixed-evaluation-pairs-002048-gpus-02,51200,2048,2,2,2,True,complete,,,,1,3,"[0.2735597229911946, 0.27201885799877346, 0.27690703299595043]",0.2735597229911946,0.27201885799877346,0.27690703299595043,7972854272,25600,25600,1x1x2,-31003822.99306091,-605.5434178332209,-31003822.992890913,-605.5434178299006,median_of_three_measured_passes,torch.float64,0.5499203355047331,5.142310087958258,5751f7331200f5f9865e0e8e37d82ff50b92d3d81722853c92f4628713d33959,2f02d9b7f4bbce67804573ae206940aee002804fe87c8026d729786ae9360b48,744b7930eb2e0b6d42616a368f9976687e603dc75c2cb6f50cb32caae696180f,True,2.1579186437577746e-05,fixed_evaluation,fixed_structure_energy_force_pass
fixed-evaluation-pairs-002048-gpus-04,51200,2048,4,4,4,True,complete,,,,1,3,"[0.2295270159993379, 0.22844210400944576, 0.22884370901738293]",0.22884370901738293,0.22844210400944576,0.2295270159993379,5078267392,12800,12800,1x1x4,-31003822.99305053,-605.5434178330182,-31003822.99296336,-605.5434178313157,median_of_three_measured_passes,torch.float64,0.5499202273440578,5.1423050659596825,5751f7331200f5f9865e0e8e37d82ff50b92d3d81722853c92f4628713d33959,2f02d9b7f4bbce67804573ae206940aee002804fe87c8026d729786ae9360b48,744b7930eb2e0b6d42616a368f9976687e603dc75c2cb6f50cb32caae696180f,True,2.1579186437577746e-05,fixed_evaluation,fixed_structure_energy_force_pass
