step,graph_idx,status,energy,fmax,temperature,pressure_eV_A3,volume_A3,density_g_cm3
0.0,0.0,0.0,-2098681.5,0.5531787872314453,118.13556671142578,0.016586216166615486,35528.2421875,1.1981430053710938
100.0,0.0,0.0,-2098655.5,2.7875592708587646,84.51060485839844,0.014587359502911568,35528.2421875,1.1981428861618042
200.0,0.0,0.0,-2098654.5,2.3443150520324707,91.83182525634766,0.014692597091197968,35528.2421875,1.1981430053710938
300.0,0.0,0.0,-2098652.5,2.661165237426758,96.59569549560547,0.01360800489783287,35528.2421875,1.1981431245803833
400.0,0.0,0.0,-2098653.0,2.9008097648620605,100.76761627197266,0.013561038300395012,35528.2421875,1.1981428861618042
500.0,0.0,0.0,-2098653.0,2.62408709526062,98.8773422241211,0.014268549159169197,35528.2421875,1.1981430053710938
600.0,0.0,0.0,-2098652.0,2.7429516315460205,98.99456024169922,0.013495315797626972,35528.2421875,1.1981428861618042
700.0,0.0,0.0,-2098652.75,2.818091869354248,97.34951782226562,0.013771120458841324,35528.2421875,1.1981428861618042
800.0,0.0,0.0,-2098652.5,2.778209686279297,98.71466827392578,0.013952498324215412,35528.2421875,1.1981431245803833
900.0,0.0,0.0,-2098653.75,2.6284046173095703,99.53966522216797,0.013928132131695747,35528.2421875,1.1981431245803833
1000.0,0.0,0.0,-2098653.0,2.8375742435455322,100.13263702392578,0.013893377035856247,35528.2421875,1.1981428861618042
1100.0,0.0,0.0,-2098652.0,2.624201774597168,99.42486572265625,0.014531748369336128,35528.2421875,1.1981430053710938
1200.0,0.0,0.0,-2098651.5,2.7522144317626953,99.03568267822266,0.014325685799121857,35528.2421875,1.1981430053710938
1300.0,0.0,0.0,-2098652.0,2.8461921215057373,100.810791015625,0.014384062960743904,35528.2421875,1.1981427669525146
1400.0,0.0,0.0,-2098652.75,2.8150198459625244,98.26201629638672,0.013786433264613152,35528.2421875,1.1981428861618042
1500.0,0.0,0.0,-2098653.0,2.8239781856536865,96.6881103515625,0.01391703449189663,35528.2421875,1.1981428861618042
1600.0,0.0,0.0,-2098653.75,3.6490542888641357,98.27051544189453,0.013609614223241806,35528.2421875,1.1981428861618042
1700.0,0.0,0.0,-2098652.0,2.7114148139953613,99.59030151367188,0.014377705752849579,35528.2421875,1.1981430053710938
1800.0,0.0,0.0,-2098652.25,2.7522025108337402,99.86344909667969,0.01351079624146223,35528.2421875,1.1981430053710938
1900.0,0.0,0.0,-2098652.5,2.9077303409576416,99.60216522216797,0.01391663495451212,35528.2421875,1.1981430053710938
