mode_index,classification,irrep,frequency_cm-1,imaginary_frequency_cm-1,ir_intensity_km_mol,reduced_mass_u,force_constant_mDyne_A
0,TR,,0.0,2.012771847617169e-05,84.72076479353136,1.0484911035928435,-2.5026728475226584e-16
1,TR,,0.0,4.9614613024407945e-06,5.924130261039406,6.177013371869366,-8.95876183944323e-17
2,TR,,1.8657027826158892e-13,0.0,25.072930754366265,15.994846255016487,3.2803125209436332e-31
3,TR,,3.3548716259674327e-13,0.0,99.74831521954329,1.0078253036484615,6.68324380326226e-32
4,TR,,3.1438360958577494e-05,0.0,27.10917779887302,2.0892663551265227,1.2166448881630456e-15
5,TR,,4.948307097174049e-05,0.0,61.18369824064637,1.4564390771318034,2.1011441341259982e-15
6,V,A,1709.5399637353535,0.0,75.63886618582727,1.0829710949706768,1.8647714603937315
7,V,A,3743.134807783205,0.0,0.1692535155088856,1.0448919695063883,8.62566448707766
8,V,A,3853.9872121595085,0.0,34.581839279835705,1.0811853084363166,9.461737769787094
