step,graph_idx,status,energy,fmax,temperature,pressure_eV_A3,volume_A3,density_g_cm3
0.0,0,0.0,-4197591.5,1.195341944694519,294.7030944824219,0.0022050058469176292,129453.78125,0.6576664447784424
0.0,1,0.0,-4197591.0,1.5639294385910034,353.4835510253906,0.002396466676145792,129453.78125,0.6576665639877319
0.0,2,0.0,-4197589.5,1.1578092575073242,412.58184814453125,0.002487202174961567,129453.78125,0.6576664447784424
0.0,3,0.0,-4197589.5,1.2411221265792847,471.512939453125,0.0027623146306723356,129453.78125,0.6576664447784424
0.0,4,0.0,-4197588.0,1.325394868850708,530.4529418945312,0.003078451845794916,129453.78125,0.6576664447784424
100.0,0,0.0,-4197425.0,4.386190414428711,180.0636444091797,0.00032194575760513544,129453.78125,0.6576664447784424
100.0,1,0.0,-4197392.0,5.1887712478637695,214.63775634765625,0.0007238616817630827,129453.78125,0.6576664447784424
100.0,2,0.0,-4197358.0,5.139441967010498,254.78184509277344,0.00030114920809865,129453.78125,0.6576664447784424
100.0,3,0.0,-4197326.0,5.4443488121032715,292.73504638671875,0.0002799363574013114,129453.78125,0.6576664447784424
100.0,4,0.0,-4197293.0,5.856191635131836,330.9781799316406,0.00030381616670638323,129453.78125,0.6576665043830872
200.0,0,0.0,-4197419.0,4.8600053787231445,219.043212890625,-0.0001850405242294073,129453.78125,0.6576664447784424
200.0,1,0.0,-4197391.0,5.136143207550049,265.1369323730469,-0.0004150369204580784,129453.78125,0.6576665043830872
200.0,2,0.0,-4197348.0,6.037494659423828,307.0485534667969,-0.00034819357097148895,129453.78125,0.6576664447784424
200.0,3,0.0,-4197313.5,6.535069465637207,350.6697692871094,-0.0004926456604152918,129453.78125,0.6576664447784424
200.0,4,0.0,-4197277.0,7.003192901611328,393.7151794433594,-0.0005436778301373124,129453.78125,0.6576664447784424
300.0,0,0.0,-4197402.5,5.077073097229004,230.364013671875,0.0007484042434953153,129453.78125,0.6576664447784424
300.0,1,0.0,-4197364.0,5.914772033691406,268.4914855957031,1.730292569845915e-05,129453.78125,0.6576665639877319
300.0,2,0.0,-4197325.0,5.886072635650635,323.0771789550781,0.0009316259529441595,129453.78125,0.6576664447784424
300.0,3,0.0,-4197287.5,6.186098098754883,368.8323669433594,0.0009472323581576347,129453.78125,0.6576664447784424
300.0,4,0.0,-4197248.0,6.709492206573486,415.3564758300781,0.0010559133952483535,129453.78125,0.6576665639877319
400.0,0,0.0,-4197395.0,5.073206901550293,236.3363037109375,0.00024515989935025573,129453.78125,0.6576664447784424
400.0,1,0.0,-4197355.5,5.565672397613525,281.0068359375,-7.551757153123617e-05,129453.78125,0.6576665043830872
400.0,2,0.0,-4197314.0,5.994043350219727,330.21173095703125,0.0002440904499962926,129453.78125,0.6576664447784424
400.0,3,0.0,-4197275.0,6.408914566040039,377.69024658203125,0.0001950383884832263,129453.78125,0.6576664447784424
400.0,4,0.0,-4197234.0,6.763774394989014,424.9586181640625,0.000230467994697392,129453.78125,0.6576664447784424
500.0,0,0.0,-4197389.5,5.018916606903076,243.1102752685547,7.105479016900063e-05,129453.78125,0.6576665043830872
500.0,1,0.0,-4197349.0,5.223133563995361,287.5880126953125,2.26189149543643e-05,129453.78125,0.6576664447784424
500.0,2,0.0,-4197307.5,5.845517635345459,340.2212219238281,0.0002499062102288008,129453.78125,0.6576664447784424
500.0,3,0.0,-4197267.0,6.2538909912109375,388.32342529296875,0.0003182237269356847,129453.78125,0.6576664447784424
500.0,4,0.0,-4197225.5,6.614038944244385,437.2422180175781,0.0004132818430662155,129453.78125,0.6576664447784424
600.0,0,0.0,-4197388.5,4.683968544006348,244.73057556152344,0.0007369625382125378,129453.78125,0.6576664447784424
600.0,1,0.0,-4197352.5,5.8075361251831055,292.71514892578125,0.0008777977200224996,129453.78125,0.6576664447784424
600.0,2,0.0,-4197307.5,5.606129169464111,343.5364990234375,0.0008869889425113797,129453.78125,0.6576664447784424
600.0,3,0.0,-4197268.0,5.930690288543701,392.91522216796875,0.0009738032822497189,129453.78125,0.6576664447784424
600.0,4,0.0,-4197227.0,6.490589141845703,442.22406005859375,0.0011035092175006866,129453.78125,0.6576664447784424
700.0,0,0.0,-4197388.0,5.098400592803955,245.6674346923828,0.0007854178547859192,129453.78125,0.6576664447784424
700.0,1,0.0,-4197347.0,5.468073844909668,296.9783020019531,0.000702935503795743,129453.78125,0.6576665639877319
700.0,2,0.0,-4197306.5,5.422511577606201,345.87286376953125,0.0009670021245256066,129453.78125,0.6576664447784424
700.0,3,0.0,-4197266.5,5.819824695587158,395.48236083984375,0.0010153198381885886,129453.78125,0.6576664447784424
700.0,4,0.0,-4197225.5,6.237848281860352,445.47894287109375,0.0010777508141472936,129453.78125,0.6576665043830872
800.0,0,0.0,-4197387.0,5.262814044952393,247.16134643554688,0.00019777531269937754,129453.78125,0.6576665043830872
800.0,1,0.0,-4197347.5,6.340649127960205,296.3143005371094,5.8784266002476215e-05,129453.78125,0.6576663255691528
800.0,2,0.0,-4197304.5,6.071685314178467,348.6845397949219,0.0002239083405584097,129453.78125,0.6576663255691528
800.0,3,0.0,-4197263.5,6.527359962463379,398.463134765625,0.00025974272284656763,129453.78125,0.6576665043830872
800.0,4,0.0,-4197221.5,6.968641757965088,448.8176574707031,0.00035119696985930204,129453.78125,0.6576664447784424
900.0,0,0.0,-4197387.5,4.983180046081543,249.9427032470703,0.0006209316197782755,129453.78125,0.6576664447784424
900.0,1,0.0,-4197343.0,5.7333197593688965,295.677490234375,0.0006625329842790961,129453.78125,0.6576665639877319
900.0,2,0.0,-4197304.0,5.8407063484191895,348.3946228027344,0.0006591990822926164,129453.78125,0.6576663851737976
900.0,3,0.0,-4197262.5,6.347482681274414,397.1818542480469,0.0007066292455419898,129453.78125,0.6576664447784424
900.0,4,0.0,-4197219.5,6.813802242279053,445.7856750488281,0.0007901446660980582,129453.78125,0.6576664447784424
1000.0,0,0.0,-4197385.5,4.75101900100708,249.02691650390625,0.00042505940655246377,129453.78125,0.6576665043830872
1000.0,1,0.0,-4197342.5,6.44744348526001,299.8352966308594,0.00043836364056915045,129453.78125,0.6576664447784424
1000.0,2,0.0,-4197302.5,6.008195400238037,348.7477722167969,0.0005421056412160397,129453.78125,0.6576664447784424
1000.0,3,0.0,-4197261.5,5.8868865966796875,398.3349914550781,0.0006229478167369962,129453.78125,0.6576663851737976
1000.0,4,0.0,-4197219.5,6.102095603942871,447.7223815917969,0.0007007413078099489,129453.78125,0.6576665043830872
1100.0,0,0.0,-4197382.0,5.002720832824707,248.9349822998047,0.0009000058053061366,129453.78125,0.6576664447784424
1100.0,1,0.0,-4197343.0,6.1868133544921875,295.16143798828125,0.00023370911367237568,129453.78125,0.6576665043830872
1100.0,2,0.0,-4197297.0,5.798954486846924,348.97528076171875,0.0011991396313533187,129453.78125,0.6576665043830872
1100.0,3,0.0,-4197253.5,6.341026306152344,397.04083251953125,0.0012922921450808644,129453.78125,0.6576664447784424
1100.0,4,0.0,-4197211.0,6.8797407150268555,446.3872985839844,0.0014258375158533454,129453.78125,0.6576664447784424
1200.0,0,0.0,-4197380.0,4.763077735900879,246.85231018066406,0.00042068271432071924,129453.78125,0.6576664447784424
1200.0,1,0.0,-4197341.5,7.012649059295654,297.2759094238281,0.0004606746952049434,129453.78125,0.6576665043830872
1200.0,2,0.0,-4197294.5,5.641172885894775,346.4891052246094,0.0006436273688450456,129453.78125,0.6576664447784424
1200.0,3,0.0,-4197252.0,6.085572242736816,395.2838439941406,0.0007848828099668026,129453.78125,0.6576664447784424
1200.0,4,0.0,-4197209.0,6.2197747230529785,444.8027038574219,0.0009238444035872817,129453.78125,0.6576664447784424
1300.0,0,0.0,-4197381.0,4.691503524780273,249.6199188232422,0.000617441488429904,129453.78125,0.6576664447784424
1300.0,1,0.0,-4197342.5,5.893240451812744,297.6578063964844,0.0006137614836916327,129453.78125,0.6576664447784424
1300.0,2,0.0,-4197296.0,5.386828422546387,348.929931640625,0.0008104672306217253,129453.78125,0.6576664447784424
1300.0,3,0.0,-4197254.0,5.930152416229248,397.9850769042969,0.0008910326287150383,129453.78125,0.6576663851737976
1300.0,4,0.0,-4197211.5,6.380934238433838,447.1849365234375,0.0010177482618018985,129453.78125,0.6576664447784424
1400.0,0,0.0,-4197380.5,5.5455780029296875,247.62448120117188,0.0008754191221669316,129453.78125,0.6576665043830872
1400.0,1,0.0,-4197344.5,5.193402290344238,300.0687255859375,0.000868848932441324,129453.78125,0.6576663851737976
1400.0,2,0.0,-4197295.5,7.157412528991699,347.49267578125,0.0010158165823668242,129453.78125,0.6576664447784424
1400.0,3,0.0,-4197254.0,7.936034679412842,396.5030517578125,0.001030627405270934,129453.78125,0.6576663255691528
1400.0,4,0.0,-4197212.0,8.451875686645508,446.06317138671875,0.001037344802170992,129453.78125,0.6576664447784424
1500.0,0,0.0,-4197384.5,4.697488307952881,246.25929260253906,0.0005312297726050019,129453.78125,0.6576664447784424
1500.0,1,0.0,-4197341.0,5.762192726135254,295.95135498046875,0.000492418825160712,129453.78125,0.6576665043830872
1500.0,2,0.0,-4197300.0,5.914389133453369,345.68341064453125,0.0006599447224289179,129453.78125,0.6576664447784424
1500.0,3,0.0,-4197259.0,6.3587327003479,395.06097412109375,0.0007231879280880094,129453.78125,0.6576664447784424
1500.0,4,0.0,-4197217.0,6.599822998046875,445.3975830078125,0.0008406934794038534,129453.78125,0.6576664447784424
1600.0,0,0.0,-4197382.5,4.864754676818848,250.31886291503906,0.0002734687295742333,129453.78125,0.6576664447784424
1600.0,1,0.0,-4197342.5,5.582035541534424,298.6925048828125,0.0007244675070978701,129453.78125,0.6576665043830872
1600.0,2,0.0,-4197297.0,6.580569267272949,350.8675537109375,0.00045421498361974955,129453.78125,0.6576664447784424
1600.0,3,0.0,-4197255.0,6.480586051940918,401.125244140625,0.00047994230408221483,129453.78125,0.6576664447784424
1600.0,4,0.0,-4197211.0,6.7202630043029785,450.9273376464844,0.0005781203508377075,129453.78125,0.6576664447784424
1700.0,0,0.0,-4197380.5,5.227359294891357,249.1577606201172,0.0003002467565238476,129453.78125,0.6576664447784424
1700.0,1,0.0,-4197340.0,5.333191394805908,300.50164794921875,0.00040144158992916346,129453.78125,0.6576665043830872
1700.0,2,0.0,-4197292.0,6.756308078765869,347.1707763671875,0.0003572119167074561,129453.78125,0.6576664447784424
1700.0,3,0.0,-4197249.0,7.259280204772949,396.0458068847656,0.00044837233144789934,129453.78125,0.6576664447784424
1700.0,4,0.0,-4197205.0,7.575484275817871,446.0825500488281,0.0005114915547892451,129453.78125,0.6576664447784424
1800.0,0,0.0,-4197381.5,5.805744647979736,250.6255340576172,0.0006079785525798798,129453.78125,0.6576664447784424
1800.0,1,0.0,-4197339.0,5.351537227630615,295.634033203125,0.000778734334744513,129453.78125,0.6576665639877319
1800.0,2,0.0,-4197296.0,6.922050476074219,351.6957092285156,0.0008010164019651711,129453.78125,0.6576664447784424
1800.0,3,0.0,-4197253.5,7.394711971282959,401.70355224609375,0.0008733215508982539,129453.78125,0.6576664447784424
1800.0,4,0.0,-4197210.5,7.6366801261901855,453.5205383300781,0.001015744637697935,129453.78125,0.6576664447784424
1900.0,0,0.0,-4197384.0,6.08613920211792,250.44606018066406,7.694237865507603e-05,129453.78125,0.6576664447784424
1900.0,1,0.0,-4197342.5,5.397912979125977,301.24090576171875,0.00072092266054824,129453.78125,0.6576664447784424
1900.0,2,0.0,-4197300.5,6.482585430145264,352.38201904296875,0.00029684347100555897,129453.78125,0.6576664447784424
1900.0,3,0.0,-4197258.5,7.001339435577393,402.84783935546875,0.0003756023943424225,129453.78125,0.6576664447784424
1900.0,4,0.0,-4197215.0,7.8792853355407715,454.3057861328125,0.0004931329749524593,129453.78125,0.6576664447784424
2000.0,0,0.0,-4197383.0,5.018495082855225,253.36839294433594,0.0008348253322765231,129453.78125,0.6576665639877319
2000.0,1,0.0,-4197342.0,7.059507369995117,296.280029296875,0.0011125658638775349,129453.78125,0.6576664447784424
2000.0,2,0.0,-4197296.5,5.884883403778076,354.1366271972656,0.001007413025945425,129453.78125,0.6576664447784424
2000.0,3,0.0,-4197253.5,6.080215930938721,404.50164794921875,0.0010851053521037102,129453.78125,0.6576664447784424
2000.0,4,0.0,-4197210.0,6.315036296844482,455.7275695800781,0.001157540362328291,129453.78125,0.6576664447784424
2100.0,0,0.0,-4197382.0,4.967038154602051,250.19921875,0.0006206566467881203,129453.78125,0.6576664447784424
2100.0,1,0.0,-4197342.5,6.526712894439697,298.5085144042969,0.0001782495528459549,129453.78125,0.6576664447784424
2100.0,2,0.0,-4197297.0,6.317373275756836,349.4903869628906,0.000905545603018254,129453.78125,0.6576664447784424
2100.0,3,0.0,-4197254.5,7.380883693695068,398.939208984375,0.0010002985363826156,129453.78125,0.6576664447784424
2100.0,4,0.0,-4197211.5,8.389652252197266,448.4216003417969,0.0010963586391881108,129453.78125,0.6576664447784424
2200.0,0,0.0,-4197380.0,4.91260290145874,249.96742248535156,0.00022311287466436625,129453.78125,0.6576665043830872
2200.0,1,0.0,-4197342.5,5.423498630523682,296.23394775390625,0.00014496780931949615,129453.78125,0.6576664447784424
2200.0,2,0.0,-4197295.5,5.725523471832275,350.8029479980469,0.00032562308479100466,129453.78125,0.6576665043830872
2200.0,3,0.0,-4197254.0,5.977641582489014,401.01251220703125,0.00042555166874080896,129453.78125,0.6576663851737976
2200.0,4,0.0,-4197212.0,6.216835975646973,450.84600830078125,0.00047744298353791237,129453.78125,0.6576664447784424
2300.0,0,0.0,-4197382.0,4.881626605987549,248.4774169921875,0.0007226312882266939,129453.78125,0.6576665043830872
2300.0,1,0.0,-4197341.0,5.192440032958984,299.9239196777344,0.0012288449797779322,129453.78125,0.6576664447784424
2300.0,2,0.0,-4197299.0,5.94631290435791,346.284423828125,0.0008923081331886351,129453.78125,0.6576663851737976
2300.0,3,0.0,-4197257.5,6.147098541259766,395.0509338378906,0.0009319550590589643,129453.78125,0.6576664447784424
2300.0,4,0.0,-4197216.0,6.385256767272949,443.716064453125,0.0009870994836091995,129453.78125,0.6576665043830872
2400.0,0,0.0,-4197382.0,5.128458499908447,249.10166931152344,0.0009183427901007235,129453.78125,0.6576665043830872
2400.0,1,0.0,-4197341.5,5.728347301483154,299.8672790527344,0.0011055320501327515,129453.78125,0.6576665639877319
2400.0,2,0.0,-4197297.0,6.297034740447998,347.58355712890625,0.0010557279456406832,129453.78125,0.6576663851737976
2400.0,3,0.0,-4197254.5,6.839127540588379,396.88336181640625,0.001160407904535532,129453.78125,0.6576664447784424
2400.0,4,0.0,-4197212.5,7.024602890014648,447.135009765625,0.0012602221686393023,129453.78125,0.6576665043830872
2500.0,0,0.0,-4197377.5,5.0442728996276855,247.996826171875,0.0005213257973082364,129453.78125,0.6576664447784424
2500.0,1,0.0,-4197342.0,6.21451473236084,292.535400390625,0.00046732189366593957,129453.78125,0.6576665043830872
2500.0,2,0.0,-4197293.5,6.181272983551025,346.55316162109375,0.0007394793210551143,129453.78125,0.6576663851737976
2500.0,3,0.0,-4197251.5,6.480921745300293,395.9740905761719,0.0008145880419760942,129453.78125,0.6576665043830872
2500.0,4,0.0,-4197208.5,6.913790702819824,446.06195068359375,0.0009363907156512141,129453.78125,0.6576664447784424
2600.0,0,0.0,-4197381.5,5.963836669921875,247.27157592773438,0.0005603731260634959,129453.78125,0.6576664447784424
2600.0,1,0.0,-4197346.0,5.837203025817871,293.6618957519531,0.00034060701727867126,129453.78125,0.6576667428016663
2600.0,2,0.0,-4197299.5,6.485405445098877,347.4181823730469,0.0007659374387003481,129453.78125,0.6576664447784424
2600.0,3,0.0,-4197257.5,6.255316734313965,397.4955139160156,0.0008258050074800849,129453.78125,0.6576664447784424
2600.0,4,0.0,-4197215.0,6.608077526092529,447.9478759765625,0.0009628704283386469,129453.78125,0.6576664447784424
2700.0,0,0.0,-4197378.0,4.788933277130127,246.09353637695312,0.00046112388372421265,129453.78125,0.6576664447784424
2700.0,1,0.0,-4197341.0,5.549450874328613,292.5196838378906,7.416307926177979e-05,129453.78125,0.6576665043830872
2700.0,2,0.0,-4197294.5,5.66121768951416,344.90081787109375,0.0005403060931712389,129453.78125,0.6576664447784424
2700.0,3,0.0,-4197251.5,6.0719313621521,394.30181884765625,0.0005884927231818438,129453.78125,0.6576664447784424
2700.0,4,0.0,-4197209.5,6.48865270614624,444.28436279296875,0.0006320495158433914,129453.78125,0.6576664447784424
2800.0,0,0.0,-4197381.0,5.076019287109375,247.98057556152344,0.00019367772620171309,129453.78125,0.6576665043830872
2800.0,1,0.0,-4197345.5,5.923703670501709,297.4825134277344,0.0005374611355364323,129453.78125,0.6576664447784424
2800.0,2,0.0,-4197296.0,6.191711902618408,345.79638671875,0.0003325045108795166,129453.78125,0.6576664447784424
